Halt Date,Halt Time,Symbol,Name,Exchange,Reason,Resume Date,NYSE Resume Time
01/29/2021,09:32:41,GME,GameStop Corp. Class A,NYSE,LULD pause,01/29/2021,09:37:47
01/28/2021,03:59:41,GME,GameStop Corp. Class A,NYSE,LULD pause,01/28/2021,04:00:02
01/28/2021,12:38:48,GME,GameStop Corp. Class A,NYSE,LULD pause,01/28/2021,12:43:51
01/28/2021,12:11:25,GME,GameStop Corp. Class A,NYSE,LULD pause,01/28/2021,12:16:33
01/28/2021,12:01:46,GME,GameStop Corp. Class A,NYSE,LULD pause,01/28/2021,12:06:49
01/28/2021,11:46:19,GME,GameStop Corp. Class A,NYSE,LULD pause,01/28/2021,11:51:33
01/28/2021,11:36:57,GME,GameStop Corp. Class A,NYSE,LULD pause,01/28/2021,11:41:59
01/28/2021,11:30:45,GME,GameStop Corp. Class A,NYSE,LULD pause,01/28/2021,11:35:49
01/28/2021,11:24:58,GME,GameStop Corp. Class A,NYSE,LULD pause,01/28/2021,11:30:03
01/28/2021,11:19:34,GME,GameStop Corp. Class A,NYSE,LULD pause,01/28/2021,11:24:36
01/28/2021,11:13:59,GME,GameStop Corp. Class A,NYSE,LULD pause,01/28/2021,11:19:09
01/28/2021,11:08:22,GME,GameStop Corp. Class A,NYSE,LULD pause,01/28/2021,11:13:31
01/28/2021,11:02:19,GME,GameStop Corp. Class A,NYSE,LULD pause,01/28/2021,11:07:19
01/28/2021,10:54:39,GME,GameStop Corp. Class A,NYSE,LULD pause,01/28/2021,11:00:04
01/28/2021,10:45:44,GME,GameStop Corp. Class A,NYSE,LULD pause,01/28/2021,10:51:19
01/28/2021,10:40:01,GME,GameStop Corp. Class A,NYSE,LULD pause,01/28/2021,10:45:03
01/28/2021,10:17:07,GME,GameStop Corp. Class A,NYSE,LULD pause,01/28/2021,10:22:10
01/28/2021,10:03:22,GME,GameStop Corp. Class A,NYSE,LULD pause,01/28/2021,10:08:26
01/28/2021,09:39:34,GME,GameStop Corp. Class A,NYSE,LULD pause,01/28/2021,09:44:36
01/28/2021,09:31:29,GME,GameStop Corp. Class A,NYSE,LULD pause,01/28/2021,09:36:35
01/27/2021,12:00:02,GME,GameStop Corp. Class A,NYSE,LULD pause,01/27/2021,12:05:09
01/27/2021,10:13:47,GME,GameStop Corp. Class A,NYSE,LULD pause,01/27/2021,10:18:50
01/27/2021,09:51:39,GME,GameStop Corp. Class A,NYSE,LULD pause,01/27/2021,09:56:43
01/26/2021,03:39:21,GME,GameStop Corp. Class A,NYSE,LULD pause,01/26/2021,03:44:34
01/26/2021,02:52:01,GME,GameStop Corp. Class A,NYSE,LULD pause,01/26/2021,02:57:04
01/26/2021,12:50:45,GME,GameStop Corp. Class A,NYSE,LULD pause,01/26/2021,12:56:07
01/26/2021,10:34:02,GME,GameStop Corp. Class A,NYSE,LULD pause,01/26/2021,10:39:39
01/26/2021,09:40:11,GME,GameStop Corp. Class A,NYSE,LULD pause,01/26/2021,09:45:21
01/25/2021,12:25:58,GME,GameStop Corp. Class A,NYSE,LULD pause,01/25/2021,12:31:11
01/25/2021,12:19:00,GME,GameStop Corp. Class A,NYSE,LULD pause,01/25/2021,12:24:07
01/25/2021,12:12:37,GME,GameStop Corp. Class A,NYSE,LULD pause,01/25/2021,12:17:45
01/25/2021,11:27:10,GME,GameStop Corp. Class A,NYSE,LULD pause,01/25/2021,11:32:23
01/25/2021,11:11:44,GME,GameStop Corp. Class A,NYSE,LULD pause,01/25/2021,11:17:30
01/25/2021,11:04:33,GME,GameStop Corp. Class A,NYSE,LULD pause,01/25/2021,11:09:38
01/25/2021,10:58:15,GME,GameStop Corp. Class A,NYSE,LULD pause,01/25/2021,11:03:20
01/25/2021,10:47:48,GME,GameStop Corp. Class A,NYSE,LULD pause,01/25/2021,10:53:34
01/25/2021,09:34:20,GME,GameStop Corp. Class A,NYSE,LULD pause,01/25/2021,09:42:00
01/22/2021,01:01:37,GME,GameStop Corp. Class A,NYSE,LULD pause,01/22/2021,01:06:37
01/22/2021,12:50:01,GME,GameStop Corp. Class A,NYSE,LULD pause,01/22/2021,12:55:01
01/22/2021,12:41:02,GME,GameStop Corp. Class A,NYSE,LULD pause,01/22/2021,12:46:03
10/08/2020,02:22:05,GME,GameStop Corp. Class A,NYSE,LULD pause,10/08/2020,02:27:10
10/08/2020,01:59:59,GME,GameStop Corp. Class A,NYSE,News pending,10/08/2020,02:21:38

